"","geoid","january","february","march","april","may","june","july","august","september","october","november","december"
"82","14000US18097340201",7512999,6854097,6899177,7179943,7503975,9356400,8263505,8222331,7125103,6116806,5947340,6836404
"83","14000US18097340300",14941837,13061504,12953610,12099954,12266274,14965194,15987206,14018634,14093116,12703002,13180578,13643726
"84","14000US18097340400",7768883,6596210,6479362,6976647,6191095,7198358,7270561,6849708,7189517,6599767,6655825,6392757
"85","14000US18097340500",10805118,12158409,10568229,12136849,11686794,13431801,13621613,12751175,13049147,12563053,11031010,11586113
"86","14000US18097340600",11231978,10628642,10222287,10504389,11524382,16281270,15736443,13932472,13270082,9611496,8644525,9995243
"87","14000US18097340700",7460341,6215209,6458020,6495647,6176665,7328635,7660402,7063795,7410773,6534797,6638375,7059809
"88","14000US18097340901",7340359,6289296,6020088,6056775,6575749,7746322,7560317,8775358,8038822,6977129,6450120,6901485
"89","14000US18097340902",273451,251088,229114,231654,262573,281589,304433,347209,257644,229895,244573,278906
"90","14000US18097341100",4672570,5180022,4824086,3497164,3846745,4777786,4812168,4438943,4676325,4075955,3967749,4734029
"91","14000US18097341200",4171820,4301174,4247487,3700135,3629761,4072476,4345326,4078387,4106194,3670816,3478045,3899979
"92","14000US18097341600",4177619,4620958,3572390,3129634,3697303,4770993,5290452,5452822,4390257,3568197,3408940,4027600
"93","14000US18097341700",9792876,11160084,8637773,7448995,9125574,8551833,9341214,8634747,8961953,7900163,7819444,8964133
"94","14000US18097341902",9251734,8105683,8045426,8081168,8535357,9017104,9420674,10282033,9738563,8820409,8212872,8699437
"95","14000US18097341903",18304523,16133819,15636055,14492668,11068252,17513347,19122996,21051885,20570617,19152571,17891940,21749237
"96","14000US18097341904",4812078,4147531,4012053,4237482,4290315,4075692,5351547,5662948,2616356,4205957,4229670,4652578
"97","14000US18097342000",25278295,25888019,24188399,25241472,25677323,33353537,31080057,36289715,33601314,30091722,26809865,27203243
"98","14000US18097342101",13127653,13988617,11606738,12240287,10504102,14313611,13458116,13623462,15060365,12863481,12590401,12546291
"99","14000US18097342200",21255297,15735270,18785310,18435908,18534003,24374754,23076233,24278662,23774758,20808090,18519450,20819070
"100","14000US18097342300",14290030,16609264,14196002,13249139,13567560,17989387,16880319,16842054,16741380,16716482,14072433,15121675
"101","14000US18097342400",48579476,45186912,47630767,45041799,40958103,54938972,137491734,-24249231,50584920,43510063,47407700,58517769
"102","14000US18097342500",9231681,10613082,8933985,9239273,8440234,8972008,9687512,9196205,9516979,9135351,8055501,9037512
"103","14000US18097342600",6144788,7185871,5843151,5582274,5429734,6813158,6231603,6491394,6080787,6008237,5210868,5711385
"104","14000US18097350100",2746367,2456916,2384897,2452139,2464205,3045354,2833340,2741788,2651429,2462778,2192098,2479090
"105","14000US18097350300",5986571,6650477,5145948,5558022,5636227,6801944,7752686,6479714,8851185,5821272,5954847,5584111
"106","14000US18097350400",7996309,7199100,8046893,6493247,6550846,7751412,10618402,10049274,7675229,6926269,6196103,6328038
"107","14000US18097350500",5335404,4900627,4030930,4227097,4154157,4244519,4174898,4128412,4098183,3928490,3851403,4015760
"108","14000US18097350600",8604964,7202564,7341862,7256159,7172995,7935788,8064539,7465712,6870397,6815559,6713352,7658524
"109","14000US18097350700",3262872,2606694,2304216,2264926,2819379,2938659,3295209,3011371,2330518,2730034,2378207,2946085
"110","14000US18097350800",4893894,5181058,3962470,3672794,4273534,4304213,4653583,4884755,4371729,3968289,3715422,5164389
"111","14000US18097350900",2526675,2938818,2556667,2004555,2126485,2255683,2768146,2390376,2408933,2232921,2134546,2309152
"112","14000US18097351000",7172491,5634035,6817943,6118691,6596504,8627270,9305963,8169953,7086245,6876485,6298559,6930874
"113","14000US18097351200",5130031,4623733,3966957,3743902,8660793,11259358,9547286,6809105,6336657,4624359,3926834,4440364
"114","14000US18097351500",6639835,4925557,4399475,5288854,4696753,6346295,7170336,7619946,6418797,4658403,4197416,3954439
"115","14000US18097351600",5585373,5876305,5058033,4990169,5038376,6211798,6067898,5992582,6498921,5551714,5267490,6100381
"116","14000US18097351700",6862223,6014440,5494011,5600200,7045425,9470199,11644855,7484464,7121171,6170111,5605121,5710515
"117","14000US18097351900",5236116,4288065,3323496,3465265,3160891,3903489,3929577,4083500,3660522,3355966,3556745,3886984
"118","14000US18097352100",4674834,3786798,4654996,3324822,2969836,4371238,3974873,4118583,3932711,3620922,3313303,3842478
"119","14000US18097352300",4786893,5093664,4192879,4379099,5744995,5529705,5660417,5332711,4751034,4656019,4886440,4217491
"120","14000US18097352400",6513480,5134840,4916635,5948759,5143570,5670900,6204827,5538548,5735345,5256169,5284708,5462568
"121","14000US18097352500",5559943,4701646,4619159,5013233,4857904,5484883,5589686,5194287,5036185,5181394,4759644,5104619
"122","14000US18097352600",9455944,5934671,6591520,6379209,8697673,9501906,10567597,8269011,7723063,7554988,6949919,6690636
"123","14000US18097352700",7353525,5753061,5475698,5597653,5706672,6060565,6346479,6564382,6213938,5556956,5517997,6530771
"124","14000US18097352800",3881873,3824861,3396234,3409300,3341885,4368286,4438728,4550311,5343854,3817707,4175305,4278645
"125","14000US18097353300",20655136,18974592,18742267,19336925,23543580,29388005,30062474,29799252,31669324,27535171,20221677,19212695
"126","14000US18097353500",6664301,6734409,9320338,6603457,9860970,8814198,9917198,10397189,10370300,9837697,9290746,8984520
"127","14000US18097353600",8396736,8703124,7680115,7646161,8091728,10595900,11603951,11921630,10622775,8412767,7783412,8344387
"128","14000US18097354200",27140476,23704924,24666994,25927748,32539173,35124932,37202200,35225903,31313574,29772249,26060245,27153055
"129","14000US18097354400",4912411,4407595,4305123,4834910,5808840,6481764,6615306,7062610,5488747,4740171,4962540,4814895
"130","14000US18097354500",4793400,3601113,3426786,3541974,3869773,4074258,4022106,4095496,3905640,3593347,3769542,3973666
"131","14000US18097354700",3485072,2239150,2194756,2490759,2600455,2755152,2710176,2679616,2593502,2478384,2393544,2721735
"132","14000US18097354800",3449575,2561924,2327514,2442996,2612242,2935047,2768187,2653460,2679558,2682665,2693679,2541968
"133","14000US18097354900",5112415,3841834,4075601,3976053,3913089,4280006,4656205,4159426,4331607,3857655,4195477,4402393
"134","14000US18097355000",5114305,3652868,3254528,3726817,3334543,4086131,4319518,3745677,3693974,3530906,3504614,4414951
"135","14000US18097355100",4062868,3065427,3109511,3442322,2860365,3129817,3329236,2993978,2943473,3266022,2950518,3380240
"136","14000US18097355300",5916548,4701255,4512985,3946757,4341641,5074301,5126333,4338321,4456867,4519599,4315617,4672827
"137","14000US18097355400",6044870,7420421,2133855,5075972,4947703,5903102,6309593,5858089,5963631,5463695,5203617,5012480
"138","14000US18097355500",6544915,5953005,5532399,6017010,6837959,8095465,8194530,7844706,7574871,4995008,6337479,6230239
"139","14000US18097355600",4712830,3919890,3505425,3829953,5090854,5295554,5322837,4898037,4423293,3857633,4445776,4600155
"140","14000US18097355700",7676609,7324972,5299187,5947705,6326565,9947378,10731851,9345420,8975029,6394335,6617264,6733975
"141","14000US18097355900",5240149,4175960,4101736,4121017,4389693,4302461,4665898,4395137,4281186,3866364,4463269,4173319
"142","14000US18097356200",15222171,12533577,12913853,13541511,28496792,35635872,37106774,31463773,17624776,16100209,14020214,11000247
"143","14000US18097356400",13901949,14803368,14285756,14322005,16724523,18050550,21387303,19404744,17006573,11793448,21851074,14385498
"144","14000US18097356900",6443746,5595404,5748818,5298828,5617182,6228733,5801676,4468914,5702551,3553699,7365665,3934551
"145","14000US18097357000",4006423,3478719,3508256,3355794,3421095,3624398,3523745,3107945,3559546,2954893,3296985,3703379
"146","14000US18097357100",4709636,4164963,3618281,4109804,3966049,4392391,4651052,4011022,4310843,3907289,4164625,4687539
"147","14000US18097357200",6183084,6620018,6133731,3943780,4980024,5047795,4967039,4990816,4693620,4232517,4987142,5360061
"148","14000US18097357300",4610662,5098693,3783360,4772697,5205122,5205658,5553648,5762093,5483720,5146122,5099861,4619303
"149","14000US18097357400",9085770,8856138,7647785,8434133,8927862,9348650,9665927,9418386,8900605,8243131,9009939,9632909
"150","14000US18097357500",8683278,8641348,7951714,8884062,8595547,10052139,9713710,9138072,9400217,9245300,9386644,8202610
"151","14000US18097357600",11751205,10327485,10070085,10072503,12221483,10386177,12116991,11846681,11563951,9544173,13005672,11008883
"152","14000US18097357800",4340687,3896766,4170149,3935267,4245018,4742157,4630522,4363608,4681814,4060015,4917376,3799594
"153","14000US18097357900",8572939,7827493,6902829,6719332,9838133,10206253,11528520,11211645,9911591,7380498,7292802,7362170
"154","14000US18097358000",8136179,8175749,8189531,7669440,9468735,9201179,10051736,9490875,10441352,9204350,9790235,5986770
"155","14000US18097358100",180437312,167387212,199728178,152495574,180420666,223007513,235957292,338199637,209999626,155879238,237668732,201425082
"156","14000US18097360101",8037035,6826546,6706586,6199635,6193166,7044505,7124554,6849235,7835258,6484110,6770467,7096692
"157","14000US18097360102",6867614,5499849,4619568,6441188,6430834,6274115,6951773,5593492,5803029,5837019,5498023,5717267
"158","14000US18097360201",11922590,9386337,10267028,10946767,10130798,11729064,10924901,10063303,11984046,7618765,10701616,10488437
"159","14000US18097360202",12984615,11076396,11521411,12699722,10951014,13390994,12482007,12106413,12257339,12922039,13269501,11704247
"160","14000US18097360301",12082991,10512020,10112021,11619037,11552651,12313579,12938601,12027155,11969161,11503437,11636938,12561340
"161","14000US18097360302",11319547,11007112,9224364,11536554,10948788,12433164,12552852,11426598,10424228,9338392,10557279,9411989
"162","14000US18097360401",15482458,13510941,11372603,12182019,14119951,14829501,16078780,14654447,14767872,12319428,11766626,52235175
"163","14000US18097360402",14227906,15393032,10620418,12658039,12952229,15069645,13057689,12957686,14359221,12364180,12356810,14034464
"164","14000US18097360404",17916896,15904770,15996278,14828372,15366477,18546283,19728937,13642453,17618187,15995841,14439480,16466385
"165","14000US18097360405",12065477,10743965,10809462,10414630,10718433,12373532,12065981,10984931,11580540,10531588,10190817,12134967
"166","14000US18097360501",12521321,12500241,12063116,11245167,11851036,14009999,11736495,14956911,13418985,11623656,11634982,14287450
"167","14000US18097360502",12170284,10920048,12536593,11125098,12946727,16250087,15292335,15339689,14073556,11990409,11302523,13448617
"168","14000US18097360601",10334257,8765944,8241557,8696909,8949190,10929610,10426787,9217836,9939267,8918151,8798366,10289409
"169","14000US18097360602",15695629,14447834,13565187,14957971,15290928,18256041,16470954,15214951,16072713,13601678,13785429,15629717
"170","14000US18097360700",5373006,4287874,4242291,4345066,4735498,5414269,5632697,4913449,4798332,4352768,4278356,4368574
"171","14000US18097360800",9395463,7841621,7660481,10858017,8054778,8552970,10352666,8956151,8846003,7784548,9001961,7945214
"172","14000US18097360900",16324816,13779165,12184440,13901792,14053372,16664325,17839340,15722219,18059340,20200655,9541449,13317878
"173","14000US18097361000",4024831,3065796,3097046,3641098,3543326,4204470,4401494,3677398,3550727,3525163,3348808,3512424
"174","14000US18097361100",6337424,5251680,5068075,5873812,5412895,5900852,6718365,5774514,5733445,5910688,5630761,5978325
"175","14000US18097361200",6615264,5749684,4876278,5997017,5591648,6768830,6046868,5295112,5179586,5247655,5012250,5360012
"176","14000US18097361300",19532632,16843690,17065507,17208941,16015792,16114375,19582698,16279664,17057877,17199546,17044538,15935768
"177","14000US18097361400",20438567,17154877,17147869,18147615,19239978,22313102,22100355,19856975,20229722,15949018,17711776,19251926
"178","14000US18097361600",16316507,15140036,14149098,15058140,16437948,21309121,22069705,18159481,18376781,15720397,14487980,17626598
"179","14000US18097370201",10483607,10506402,10666876,10925161,9513354,11528820,9351250,9190785,8203636,9902448,9100891,10086053
"180","14000US18097370202",13097603,14343542,12140166,39450082,230257140,-237041013,12557906,14256967,11519052,12434111,10583584,12736210
"181","14000US18097370301",14350055,16094000,15246567,15404408,14700559,19553137,18754717,22396687,18906846,19864324,17073858,18220073
"182","14000US18097370302",15744462,14304942,15155878,13914645,13911914,19237312,18670185,18464706,16580349,16922571,13833747,15734651
"183","14000US18097380100",39052354,32942410,34669814,35023322,44894560,50031774,51975450,45209781,48705419,35160990,37895357,38472165
"184","14000US18097380200",11405747,10560939,10033073,9924994,9739142,10292023,11488956,11017743,10608987,9432281,10939439,8460669
"185","14000US18097380300",11699830,12377260,10957336,12387834,11917624,11852724,15447076,13692899,17394402,13377860,13064220,11069841
"186","14000US18097380402",12579546,11633262,10932516,10761082,11269288,12888112,11959061,10676037,12309332,10841552,12228376,13935680
"187","14000US18097380403",7528471,7219183,6579038,7145846,7529321,8399066,7780713,7593400,7891638,6816395,8108295,7408501
"188","14000US18097380404",8333971,7996206,6962183,7302675,7773126,8784524,9577083,8097526,8348728,7072333,8317743,8355508
"189","14000US18097380501",5255538,4381000,4845612,5445235,5078954,3377552,3790708,9966120,4835216,3965620,5037636,5438643
"190","14000US18097380502",12235084,6929856,7234394,6397205,7459930,8943341,30711469,10366830,8053151,6472592,14518677,6865360
"191","14000US18097380600",11737131,10876723,11254775,11132690,12271273,12610818,13263338,10554530,13340680,10617830,12945125,11804910
"192","14000US18097380700",10019235,9991341,10405524,10122835,11090108,12414736,13188652,10558452,11536239,9811223,11916282,11996012
"193","14000US18097380800",5899459,5427339,4593215,4923205,6386024,5747680,6430043,5660762,6085643,4930448,5746081,5828845
"194","14000US18097380901",10391749,6636474,8966416,8216736,10617099,10739598,13041433,9941762,11152982,8882937,9863260,10380255
"195","14000US18097380902",13784002,13195617,15474240,13258816,17017238,17878191,24571498,17538433,18427179,14171255,15882174,15722432
"196","14000US18097381001",19096180,17237747,18296805,16583984,17117261,16784976,19991570,16735298,17579675,17293297,18423986,18833194
"197","14000US18097381002",5382436,5590134,5428918,4584241,6381146,6429305,7530512,5914626,6508541,4769739,5751459,5701803
"198","14000US18097381101",9337740,8840273,9520700,8443486,12077687,14194758,15451316,12881644,13591186,10258031,8486496,10098956
"199","14000US18097381102",11142935,9993760,18276390,2329225,11306614,14503713,15327001,11882776,12931116,11066417,11446348,12239819
"200","14000US18097381201",12386147,12113159,12793969,11966947,15048575,16736820,18536898,14368110,16044227,11998853,13460208,14125285
"201","14000US18097381203",10442663,6811046,7126256,7085710,7933726,7893504,9104378,8708548,9182328,7768548,8414410,8914939
"202","14000US18097381204",12261566,11029653,11558638,11195731,12116577,12497590,9904448,16619545,13057048,10553559,11945082,13110820
"203","14000US18097381205",13401947,12121999,12617021,12029236,15795355,17875460,22389400,16003976,16708945,12604451,14322031,14804459
"204","14000US18097390101",11188585,10652723,9844330,9656912,11736031,16568837,16646456,12605723,13734808,11523712,12427023,11299050
"205","14000US18097390102",17025059,19261011,15614315,17177144,16237729,21576571,19691198,18873134,18783117,17526110,16261013,18073444
"206","14000US18097390200",6657551,6206195,5772769,6393717,8379251,13123246,13307144,10225780,9430017,9470171,6936090,5661884
"207","14000US18097390300",4979218,5232355,4500190,4891545,5747179,8652625,8023516,7790157,7201700,6119693,5837817,5334748
"208","14000US18097390402",20225688,19532317,18035642,19733682,21870330,28273303,26479352,23891520,24507906,19646389,21597699,21452261
"209","14000US18097390403",16360706,16352902,14933860,15958299,20675209,31828487,28633594,24207794,25632186,18064229,18570468,16244714
"210","14000US18097390404",10613640,10382250,9930013,10405633,13042389,14915198,15633605,13271015,14156111,11293444,11622069,10897495
"211","14000US18097390405",20275783,19351626,22368948,19607258,23602778,27360887,29221413,26317603,26973172,21675406,22196315,21403624
"212","14000US18097390500",4499587,3970203,3649755,3659629,5932943,6771794,8706152,7154363,7612171,5366041,4460335,4505488
"213","14000US18097390600",684051,579336,546922,539820,605554,709093,836468,804841,646267,639924,477494,420315
"214","14000US18097390700",6690259,6646334,5333926,5984915,5808575,5935379,6104468,6166287,6288591,5328767,5154907,6051494
"215","14000US18097390800",43721349,57609603,59027272,53902582,52809230,64485963,58952072,62174415,58670808,46867972,45129321,33528472
"216","14000US18097390900",6539298,5254678,5115218,5131993,6473269,6555342,7145121,7330626,6732488,6296782,5748486,6272525
"217","14000US18097391000",130627651,112811141,125229316,124858028,186008953,208174851,230558304,218742170,185355359,147396779,159215331,116435532
