"","geoid","longname","birthrate","br15to19","br20to34","br35to50","lessthanhs","highschool","somecollege","associates","bachelors","postbach","incomeless20k","income20to35k","income35to50k","income50to75k","income75to100k","income100to150k","income150to200k","incomeover200k","families","marriedfam","singleparfam","detachedhome","attachedhome","mobilehome","mischome","houseless50k","house50to100k","house100to250k","house250to500k","house500to1mill","houseover1mill","english","spanish","europeanlang","asianlang","otherlang","single","married","separated","othermstat","widowed","divorced","ownhouse","europepob","asiapob","africapob","oceaniapob","caribbeanpob","centamerpob","southamerpob","nonusnorthamerpob","popunder18","pop20s","pop30s","pop40s","pop50to64","popover65","white","black","native","asian","pacificisl","otherrace","latinx","povrate","singlecar","carpool","publictransit","bike","walk","othertransport","workfromhome"
"1","14000US18097310103","Census Tract 3101.03, Marion, IN",5.13718622300058,0,3.03561004086398,2.1015761821366,3.04925723221267,10.8092259577795,17.0250195465207,9.20641125879593,36.7279124315872,23.4558248631744,7.49707145646232,4.68566966028895,9.17610308473253,9.33229207340882,7.34088246778602,19.7188598203827,16.1265130808278,26.1226083561109,90.4656029296364,71.1613915772953,19.3042113523411,90.5597014925373,3.3955223880597,0,0,2.67498885421311,4.54748105216228,23.7628176549264,57.7797592510031,10.8337048595631,0.401248328131966,90.3398191285284,0.342559605371335,2.58975061660729,2.56234584817758,4.16552480131543,30.3068252974327,114.308077645585,1.33061991233563,2.30118973074515,5.19724483406387,7.34189104571071,85.5087627517656,15.2631578947368,72.8947368421053,0,0,1.18421052631579,5.39473684210526,5.26315789473684,0,22.9221118661788,14.9764767381077,7.38369053842133,14.3883951907998,25.9278619968636,14.4014636696289,62.0752744380554,25.8625196027182,0,3.93361212754835,0,0,5.68478829064297,4.34896515588158,83.7286406528947,5.1772507013517,0.0255036980362153,0.306044376434583,1.58122927824535,0.739607243050242,8.44172404998725
"2","14000US18097310104","Census Tract 3101.04, Marion, IN",6.21193666260658,0,6.21193666260658,0,4.45283018867925,14.8679245283019,17.9622641509434,7.66037735849057,39.6981132075472,15.1698113207547,19.456289978678,12.1535181236674,13.6460554371002,27.0255863539446,12.5266524520256,10.0213219616205,4.21108742004264,0.959488272921109,47.7740863787375,39.1694352159468,8.6046511627907,25.6954982296409,30.450177035913,0,0,1.62523900573614,47.8967495219885,46.9407265774379,3.53728489483748,0,0,89.7435897435898,4.03418803418803,5.02564102564103,1.1965811965812,0,32.6936744847193,68.1592039800995,1.45700071073205,2.13219616204691,11.6560056858564,21.5707178393746,62.2591362126246,61.5969581749049,13.3079847908745,0,0,0,19.3916349809886,5.70342205323194,0,7.97749089705396,19.1989407480967,19.4968553459119,3.80668652763985,23.2042370076134,26.3157894736842,75.4716981132076,18.9341277722608,0,1.15855676928169,0,0,3.44256868586561,13.6212624584718,97.0990695128626,0.930487137383689,0.930487137383689,0,0.492610837438424,0.547345374931582,0
"3","14000US18097310105","Census Tract 3101.05, Marion, IN",5.94713656387665,0,4.84581497797357,1.10132158590308,8.26802507836991,22.5705329153605,20.3761755485893,7.60188087774295,25.9404388714734,12.9310344827586,22.5578406169666,6.10539845758355,11.7609254498715,24.7429305912596,10.9254498714653,18.3161953727506,5.01285347043702,0.57840616966581,75.5145682972467,57.4712643678161,18.0433039294306,59.7222222222222,5.17676767676768,0,0,2.10643015521064,11.7516629711752,87.2505543237251,0.997782705099778,0,0,87.492795389049,8.90489913544669,0.288184438040346,1.70028818443804,1.61383285302594,37.2301560943208,93.5901693789439,1.59415476585852,2.15875124543341,3.58684822318167,12.3879109930256,69.1793638064689,3.18471337579618,18.7898089171975,8.9171974522293,0,5.73248407643312,51.9108280254777,11.4649681528662,0,24.9599572877736,13.4276561665777,16.1772557394554,13.0272290443139,19.4607581420182,12.9471436198612,49.038974906567,37.7469300587293,0,2.69620928990924,0,0,9.39668980245595,11.7458622530699,81.577658010779,8.57422831945125,1.46986771190593,0,0,4.8015678588927,3.57667809897109
"4","14000US18097310106","Census Tract 3101.06, Marion, IN",2.41145440844009,0,2.41145440844009,0,9.79591836734694,14.8051948051948,32.9128014842301,4.15584415584416,23.265306122449,14.9536178107607,17.3114119922631,21.1798839458414,26.8375241779497,13.6363636363636,11.6537717601547,7.64023210831721,0.870406189555126,0.870406189555126,63.3298755186722,29.0715767634855,34.2582987551867,9.06567992599445,9.38945420906568,0,0,0,16.0583941605839,70.4379562043796,6.93430656934307,6.56934306569343,0,76.0162601626016,20.3252032520325,1.05691056910569,0.514905149051491,2.08672086720867,52.203182374541,57.8335373317013,2.23378212974296,2.26438188494492,8.20073439412485,10.6793145654835,17.7385892116183,5.61497326203209,5.08021390374332,22.4598930481283,0,2.94117647058824,59.0909090909091,0,4.81283422459893,21.898355754858,20.0298953662182,21.723966118585,8.64474339810663,10.5630293971101,17.1400099651221,39.412057797708,30.7174887892377,0,0.473343298455406,0,0,25.4359740906826,8.19502074688797,92.4361948955917,1.76334106728538,0.74245939675174,0,2.45939675174014,1.76334106728538,0.835266821345708
"5","14000US18097310108","Census Tract 3101.08, Marion, IN",0,0,0,0,2.99242424242424,11.2878787878788,11.8560606060606,7.27272727272727,32.3106060606061,33.3712121212121,3.68823938761308,8.35073068893528,9.60334029227557,17.6061238691719,14.7529575504523,18.0932498260264,12.0389700765484,15.866388308977,82.6848826848827,61.2414612414612,21.4434214434214,65.9533073929961,23.2814526588846,0,0,1.09612141652614,1.26475548060708,50.5059021922428,36.5935919055649,6.99831365935919,3.54131534569983,93.49076597033,3.66333636088404,1.78625491976991,1.05964274901605,0,31.4237288135593,108.203389830508,0.610169491525424,1.32203389830508,3.52542372881356,10.9491525423729,78.6456786456786,31.7647058823529,32.5490196078431,0,2.35294117647059,0,29.4117647058824,3.92156862745098,0,13.8996138996139,13.8996138996139,11.6424116424116,11.2563112563113,28.7496287496287,20.5524205524206,72.8541728541728,18.7407187407187,0,3.53430353430353,0,0,3.17790317790318,5.09231685527099,88.2582081246522,6.73344462993879,0.779076238174736,0,0,0.723427935447969,3.50584307178631
"6","14000US18097310110","Census Tract 3101.10, Marion, IN",7.9646017699115,0,7.9646017699115,0,5.53299492385787,11.7258883248731,18.3248730964467,12.6903553299492,31.2182741116751,21.7766497461929,9.17030567685589,24.3813682678311,16.1572052401747,23.3624454148472,6.33187772925764,15.8660844250364,2.91120815138282,1.81950509461426,72.7303408707391,44.2794465069187,28.4508943638205,44.7923757658271,4.08441116405718,0,0,0,25.7679180887372,74.2320819112628,0,0,0,82.7623906705539,4.11807580174927,3.68075801749271,4.22740524781341,5.21137026239067,43.2026688907423,89.1576313594662,0.959132610508757,6.46371976647206,2.12677231025855,10.0917431192661,43.2669591630105,8.39506172839506,50.6172839506173,21.7283950617284,0,19.2592592592593,0,0,0,21.6334795815052,27.5734053324333,20.3509956125548,7.76240296996288,16.9760377995275,5.7036787040162,45.426932163348,41.8832264596693,0,6.98616267296659,0,0,3.77995275059062,11.1449864498645,90.7239819004525,5.31674208144796,0,0,0.509049773755656,0.452488687782805,2.99773755656109
"7","14000US18097310111","Census Tract 3101.11, Marion, IN",4.03458213256484,0,3.53025936599424,0.504322766570605,10.2868068833652,21.3001912045889,24.1682600382409,9.52198852772467,25.3154875717017,7.95411089866157,12.9577464788732,27.3802816901408,23.7183098591549,15.5492957746479,13.9718309859155,4.45070422535211,1.29577464788732,0.676056338028169,64.8999740192258,19.6934268641205,45.2065471551052,40.1889938854919,4.05780989438577,0,0,1.25173852573018,53.2684283727399,43.5326842837274,0,3.19888734353268,0,79.2065663474692,5.22571819425445,3.25581395348837,2.90013679890561,9.41176470588235,47.3782771535581,41.6354556803995,0.873907615480649,5.02496878901373,5.27465667915106,26.5293383270911,39.360872954014,3.54090354090354,23.9316239316239,50.5494505494505,0,3.2967032967033,14.2857142857143,0,4.3956043956044,22.3594655911268,22.3594655911268,19.1832619107638,7.83967733803882,15.578522813209,12.6796067557348,26.4179480715906,51.3234182001513,0,4.15931434333249,0,0,9.98235442399798,12.1590023382697,84.3062200956938,11.6746411483254,1.00478468899522,0,0,3.01435406698565,0
"8","14000US18097310201","Census Tract 3102.01, Marion, IN",5.52380952380952,0,4.85714285714286,0.666666666666667,9.94498518831993,21.2865002115954,16.0389335590351,8.6754126110876,28.14219212865,13.0342784595853,11.0771581359817,15.3552330022918,20.7792207792208,16.3483575248281,15.5080213903743,12.7578304048892,5.11841100076394,3.05576776165011,82.2509631260319,53.5773252614199,28.673637864612,66.5623043206011,2.44207889793363,0,0,1.68471720818291,8.5439229843562,88.8086642599278,0.962695547533093,0,0,81.5542788025401,7.95282733595404,6.22921076504385,0.483822195343211,3.77986090111884,40.8121128699243,87.9559532002753,2.51204404679972,1.96145905024088,6.43496214728149,8.77494838265657,67.8866263070996,1.11524163568773,5.39033457249071,44.2379182156134,0,15.7992565055762,33.271375464684,0.185873605947955,0,25.3990093560815,15.6026417171161,15.6026417171161,13.3461750137589,20.0605393505779,9.98899284534948,37.451843698404,47.7985690698954,0,1.07319757842598,0,0.19262520638415,11.0346725371491,4.32030820033021,81.9541375872383,13.0608175473579,0.448654037886341,0,0.747756729810568,0.398803589232303,3.38983050847458
"9","14000US18097310203","Census Tract 3102.03, Marion, IN",6.12244897959184,0,1.22448979591837,4.89795918367347,11.6455696202532,23.4177215189873,17.5189873417722,6.91139240506329,28.1772151898734,12.3291139240506,15.9555555555556,18.0888888888889,9.55555555555556,23.9555555555556,13.5555555555556,13.2444444444444,3.37777777777778,2.26666666666667,74.1600703605981,50.712401055409,23.4476693051891,46.2887438825449,16.3132137030995,0,0,4.00907715582451,24.5083207261725,72.768532526475,0,0,1.28593040847201,81.1199394627318,14.3965191070753,1.22966326144533,2.93227393113886,0.321604237608778,41.3505810129358,74.5889059416795,1.75400131550099,0.548125411094058,8.35343126507345,13.0015347511511,64.028144239226,0,10.6206896551724,10.8965517241379,0,0,71.448275862069,0,7.03448275862069,25.2859618717504,16.3778162911612,19.5493934142114,9.32409012131716,16.1178509532062,13.3448873483536,34.4020797227036,42.6343154246101,0,2.33968804159445,0,0,17.8856152512998,12.7704485488127,69.119170984456,24.9740932642487,2.62521588946459,0,1.4853195164076,0,1.79620034542314
"10","14000US18097310204","Census Tract 3102.04, Marion, IN",7.90513833992095,1.84453227931489,2.83267457180501,3.22793148880105,13.4248210023866,23.8663484486874,17.6014319809069,13.5739856801909,19.8687350835322,9.09904534606205,23.5754189944134,6.25698324022346,10.2793296089385,18.7150837988827,16.8156424581006,12.0670391061453,7.26256983240224,5.02793296089385,87.1204188481675,63.1413612565445,23.979057591623,75.0931346460883,1.43693453964875,0.532197977647685,0,4.21810699588477,5.65843621399177,86.522633744856,0.925925925925926,2.67489711934156,0,76.9506895900246,13.3761571887398,1.15246552049877,1.34139429435103,7.17929340638579,38.1843381843382,94.8024948024948,2.00970200970201,3.62670362670363,2.63340263340263,11.7810117810118,59.1623036649215,7.59219088937093,12.2559652928416,39.1540130151844,0,1.30151843817787,39.6963123644252,0,0,31.4285714285714,14.7386759581882,13.2229965156794,15.2613240418118,20.2090592334495,5.13937282229965,18.3449477351916,59.4076655052265,0,3.2404181184669,0,0.627177700348432,14.4076655052265,17.2996515679443,81.7728729085084,15.2367390530438,0.284798860804557,0,0,0,2.70558917764329
